CpG_id	Symbol	Description
cg00485380	CBX3	chromobox homolog 3
cg00487159	SOCS1	suppressor of cytokine signaling 1
cg00488300	TPSG1	transmembrane tryptase preproprotein
cg00488364	IL13RA2	interleukin 13 receptor; alpha 2 precursor
cg00488718	MGC33302	hypothetical protein LOC256471
cg00489401	FLT4	fms-related tyrosine kinase 4 isoform 1
cg00491404	EPS8L3	epidermal growth factor receptor pathway substrate 8-like protein 3 isoform c
cg00491839	PPP1R15A	protein phosphatase 1; regulatory subunit 15A
cg00493400	STAT1	signal transducer and activator of transcription 1 isoform alpha
cg00495415	SP1	Sp1 transcription factor
cg00495442	KIAA1219	hypothetical protein LOC57148
cg00495491	ITPR2	inositol 1;4;5-triphosphate receptor; type 2
cg00496170	ATP6V1D	H(+)-transporting two-sector ATPase
cg00497084	PPEF1	serine/threonine protein phosphatase with EF-hand motifs 1 isoform 1a
cg00497251	RNPEPL1	arginyl aminopeptidase (aminopeptidase B)-like 1
cg00498305	SLC18A2	solute carrier family 18 (vesicular monoamine); member 2
cg00498604	TLL1	tolloid-like 1
cg00499599	MCM3AP	minichromosome maintenance protein 3 associated protein
cg00499822	CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1) isoform alpha
cg00500400	EP300	E1A binding protein p300
cg00501366	ALOX12B	arachidonate 12-lipoxygenase; 12R type
cg00502442	ZDHHC14	NEW1 domain containing protein isoform 1
cg00503458	KIAA0907	hypothetical protein LOC22889
cg00503840	DLX5	distal-less homeo box 5
cg00504595	TNFRSF19	tumor necrosis factor receptor superfamily; member 19 isoform 1 precursor
cg00509616	Gcom1	GRINL1A combined protein isoform 1
cg00509670	PAX9	paired box gene 9
cg00510787	C6orf96	hypothetical protein LOC55005
cg00510956	KHDRBS1	KH domain containing; RNA binding; signal transduction associated 1
cg00511475	CDH15	cadherin 15 preproprotein
cg00512031	CYTL1	cytokine-like 1
cg00512279	SLC18A2	solute carrier family 18 (vesicular monoamine); member 2
cg00512374	IGFBP4	insulin-like growth factor binding protein 4 precursor
cg00513220	MOSC2	MOCO sulphurase C-terminal domain containing 2
cg00513467	KLHL9	kelch-like 9
cg00514407	SERPINE2	plasminogen activator inhibitor type 1; member 2
cg00514895	CPZ	carboxypeptidase Z isoform 2 precursor
cg00515905	EPS8L3	epidermal growth factor receptor pathway substrate 8-like protein 3 isoform c
cg00516481	PDE9A	phosphodiesterase 9A isoform a
cg00518911	HOXA10	homeobox protein A10 isoform a
cg00518989	LIMK2	LIM domain kinase 2 isoform 2a
cg00519208	EVI5	ecotropic viral integration site 5
cg00519627	CORO7	coronin 7
cg00520135	TPM1	tropomyosin 1 alpha chain isoform 5
cg00520708	FLJ37562	hypothetical protein LOC134553
cg00521434	GPR61	G protein-coupled receptor 61
cg00521598	MYCBP	c-myc binding protein
cg00522034	CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b
cg00522316	KHSRP	KH-type splicing regulatory protein (FUSE binding protein 2)
cg00524288	UPP1	uridine phosphorylase 1
cg00528052	JARID1B	Jumonji; AT rich interactive domain 1B (RBP2-like)
cg00528967	STK24	serine/threonine kinase 24 (STE20 homolog; yeast) isoform a
cg00532335	LGI1	leucine-rich; glioma inactivated 1 precursor
cg00532890	PBX1	pre-B-cell leukemia transcription factor 1
cg00534274	SLC7A11	solute carrier family 7; (cationic amino acid transporter; y+ system) member 11
cg00534856	CGB	chorionic gonadotropin beta 3 subunit precursor
cg00536175	GATA1	GATA binding protein 1
cg00537910	ABCB6	ATP-binding cassette; sub-family B; member 6
cg00539322	SAG	S-arrestin
cg00539716	HTLF	T-cell leukemia virus enhancer factor
cg00539955	PARVB	parvin; beta isoform b
cg00540544	CSRP1	cysteine and glycine-rich protein 1
cg00540769	ACOT12	cytosolic acetyl-CoA hydrolase
cg00542846	APP	amyloid beta A4 protein precursor; isoform a
cg00544557	DSCR10	hypothetical protein LOC259234
cg00545573	TAOK3	TAO kinase 3
cg00546491	PDE1C	phosphodiesterase 1C; calmodulin-dependent 70kDa
cg00546897	LOC284837	hypothetical protein LOC284837
cg00547018	ALG1	beta-1;4-mannosyltransferase
cg00547789	RAB39B	RAB39B; member RAS oncogene family
cg00547829	TUBD1	delta-tubulin
cg00548060	NPL	N-acetylneuraminate pyruvate lyase
cg00548268	NPTX2	neuronal pentraxin II
cg00550617	KRTAP9-4	keratin associated protein 9-4
cg00551244	C8orf78	hypothetical protein LOC157376
cg00554173	ProSAPiP1	ProSAPiP1 protein
cg00554250	NR1H3	nuclear receptor subfamily 1; group H; member 3
cg00554682	C2orf10	hypothetical protein LOC91752
cg00554702	CHEK1	CHK1 checkpoint homolog
cg00556408	TMPRSS6	transmembrane protease; serine 6
cg00557354	ARHGEF7	Rho guanine nucleotide exchange factor 7 isoform a
cg00559473	AAAS	achalasia; adrenocortical insufficiency; alacrimia (Allgrove; triple-A)
cg00560119	STXBP1	syntaxin binding protein 1 isoform a
cg00563229	XKR8	X Kell blood group precursor-related family; member 8
cg00563845	PXK	PX domain containing serine/threonine kinase
cg00563926	TGFBR3	transforming growth factor; beta receptor III (betaglycan; 300kDa)
cg00563932	PTGDS	prostaglandin H2 D-isomerase
cg00564163	STEAP4	tumor necrosis factor; alpha-induced protein 9
cg00565075	EIF3S6IP	eukaryotic translation initiation factor 3 subunit 6 interacting protein
cg00565688	TP73	tumor protein p73
cg00566759	DSC2	desmocollin 2 isoform Dsc2b preproprotein
cg00567479	FARP2	FERM; RhoGEF and pleckstrin domain protein 2
cg00567749	CSPG2	chondroitin sulfate proteoglycan 2 (versican)
cg00568128	C10orf118	CTCL tumor antigen L14-2
cg00568792	STT3A	integral membrane protein 1
cg00569620	ABHD10	abhydrolase domain containing 10
cg00571634	WDR5B	WD repeat domain 5B
cg00572797	RUNX3	runt-related transcription factor 3 isoform 2
cg00573606	COL6A3	alpha 3 type VI collagen isoform 1 precursor
cg00575744	HLA-DMB	major histocompatibility complex; class II; DM beta precursor
cg00576250	ZNF663	zinc finger protein 663
cg00577167	ALDOB	aldolase B
cg00577464	SHH	sonic hedgehog preproprotein
cg00578575	ZNF596	zinc finger protein 596
cg00579393	REG1B	regenerating islet-derived 1 beta precursor
cg00579402	FUT6	fucosyltransferase 6 (alpha (1;3) fucosyltransferase)
cg00581156	HSA9761	dimethyladenosine transferase
cg00582372	S100G	calbindin 3
cg00582628	RGS20	regulator of G-protein signalling 20 isoform b
cg00584022	KRAS	c-K-ras2 protein isoform b
cg00585790	LIMS1	LIM and senescent cell antigen-like domains 1
cg00585846	NFKBIL1	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 1
cg00586909	CDKAL1	CDK5 regulatory subunit associated protein 1-like 1
cg00587613	GPR152	G protein-coupled receptor 152
cg00592315	C14orf152	hypothetical protein LOC90050
cg00594118	COBRA1	cofactor of BRCA1
cg00594952	RIMS3	regulating synaptic membrane exocytosis 3
cg00596686	STS	steryl-sulfatase precursor
cg00597076	MYO1C	myosin IC
cg00598858	PRKCSH	protein kinase C substrate 80K-H isoform 1
cg00600110	FAM9A	family with sequence similarity 9; member A
cg00600684	BRWD2	bromodomain and WD repeat domain containing 2
cg00601486	H1T2	histone H1 variant
cg00602891	C17orf62	hypothetical protein LOC79415
cg00603172	BOK	BCL2-related ovarian killer
cg00605270	SMPDL3B	acid sphingomyelinase-like phosphodiesterase 3B isoform 1
cg00609097	TESK2	testis-specific protein kinase 2
cg00611397	GTPBP5	GTP binding protein 5
cg00612467	HADHSC	L-3-hydroxyacyl-Coenzyme A dehydrogenase; short chain
cg00613255	INS	proinsulin precursor
cg00613344	KIAA1822L	hypothetical protein LOC79802
cg00614413	PTPRS	protein tyrosine phosphatase; receptor type; sigma isoform 1 precursor
cg00615241	PRTN3	proteinase 3 (serine proteinase; neutrophil; Wegener granulomatosis autoantigen)
cg00615377	RBM9	RNA binding motif protein 9 isoform 1
cg00615915	SERPINB8	serine (or cysteine) proteinase inhibitor; clade B (ovalbumin); member 8 isoform a
cg00616129	STYK1	serine/threonine/tyrosine kinase 1
cg00616135	LACTB	lactamase; beta isoform a
cg00616369	NCL	nucleolin
cg00617305	TMEM58	transmembrane protein 58
cg00618396	VBP1	von Hippel-Lindau binding protein 1
cg00619207	DENND2D	DENN/MADD domain containing 2D
cg00620024	PPP6C	protein phosphatase 6; catalytic subunit
cg00620223	CENPF	centromere protein F (350/400kD)
cg00620629	C6orf113	hypothetical protein LOC221302
cg00620857	ACOT4	peroxisomal acyl-CoA thioesterase 2B
cg00622552	ODF3L1	outer dense fiber of sperm tails 3-like 1
cg00622677	TSPAN5	transmembrane 4 superfamily member 9
cg00623593	DOCK1	dedicator of cytokinesis 1
cg00625425	ANKRD38	ankyrin repeat domain 38
cg00625653	WNT7A	wingless-type MMTV integration site family; member 7A precursor
cg00626119	NTRK1	neurotrophic tyrosine kinase; receptor; type 1 isoform 3
cg00626466	GNS	glucosamine (N-acetyl)-6-sulfatase precursor
cg00627233	REG3G	regenerating islet-derived 3 gamma
cg00627286	UGDH	UDP-glucose dehydrogenase
cg00629217	LNX1	multi-PDZ-domain-containing protein
cg00629585	GFI1B	growth factor independent 1B (potential regulator of CDKN1A; translocated in CML)
cg00630164	KCNQ4	potassium voltage-gated channel KQT-like protein 4 isoform a
cg00630249	CYB561D1	cytochrome b-561 domain containing 1
cg00630583	POLE	DNA polymerase epsilon catalytic subunit
cg00631230	VPS33A	vacuolar protein sorting 33A
cg00633969	PARP9	B aggressive lymphoma gene
cg00634577	HIST1H4K	H4 histone family; member D
cg00635481	ZNF76	zinc finger protein 76 (expressed in testis)
cg00636639	MRRF	mitochondrial ribosome recycling factor isoform 1
cg00638514	OTOP3	otopetrin 3
cg00642303	CENTB2	centaurin; beta 2
cg00643392	RTBDN	retbindin
cg00644033	MUC3B	mucin 3B
cg00645224	GTF2IRD2	GTF2I repeat domain containing 2
cg00645579	IRF7	interferon regulatory factor 7 isoform a
cg00645922	TMED7	transmembrane emp24 protein transport domain containing 7
cg00646140	ARSD	arylsulfatase D isoform a precursor
cg00646492	GSTO1	glutathione-S-transferase omega 1
cg00647741	ZNF274	zinc finger protein 274 isoform b
cg00648153	SLC17A5	solute carrier family 17 (anion/sugar transporter); member 5
cg00648883	LOC196549	hypothetical protein LOC196549
cg00650762	EPHB2	ephrin receptor EphB2 isoform 2 precursor
cg00650876	YBX1	nuclease sensitive element binding protein 1
cg00651216	HSP90AB1	heat shock 90kDa protein 1; beta
cg00653387	PTN	pleiotrophin
cg00654814	MGAT5B	beta(1;6)-N-acetylglucosaminyltransferase V isoform 1
cg00654816	ZNF509	zinc finger protein 509
cg00655307	ESR1	estrogen receptor 1
cg00655779	CCT7	chaperonin containing TCP1; subunit 7 isoform a
cg00657095	PPARD	peroxisome proliferative activated receptor; delta isoform 1
cg00657582	CHD8	chromodomain helicase DNA binding protein 8
cg00658007	C1orf36	chromosome 1 open reading frame 36
cg00658626	CCDC63	hypothetical protein LOC160762
cg00659129	DDEF1	development and differentiation enhancing factor 1
cg00659953	C16orf24	hypothetical protein LOC65990
cg00660989	BTBD5	BTB (POZ) domain containing 5
cg00661202	CHCHD4	coiled-coil-helix-coiled-coil-helix domain containing 4
cg00661485	FOXI1	forkhead box I1 isoform a
cg00662556	GALR1	galanin receptor 1
cg00662775	TCEAL4	transcription elongation factor A (SII)-like 4
cg00665395	TTLL4	tubulin tyrosine ligase-like family; member 4
cg00666446	ZNF670	zinc finger protein 670
cg00666746	SYDE1	synapse defective 1; Rho GTPase; homolog 1
cg00668685	SLC39A5	solute carrier family 39 (metal ion transporter); member 5
cg00669623	CDC2L2	cell division cycle 2-like 2 isoform 2
cg00669856	SPRY1	sprouty homolog 1; antagonist of FGF signaling
cg00671161	ATP7B	ATPase; Cu++ transporting; beta polypeptide isoform a
cg00672638	ARHGAP26	GTPase regulator associated with the focal adhesion kinase pp125
cg00673020	MOSPD1	motile sperm domain containing 1
cg00673191	DOPEY2	pad-1-like
cg00674922	SATB1	special AT-rich sequence binding protein 1
cg00676660	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif; 9 preproprotein
cg00677811	CCM2	cerebral cavernous malformation 2 isoform 2
cg00678539	MNS1	meiosis-specific nuclear structural protein 1
cg00679556	TRIM31	tripartite motif protein 31 isoform alpha
cg00679738	FAM89A	hypothetical protein LOC375061
cg00682653	VTI1B	vesicle transport through interaction with t-SNAREs 1B
cg00684178	NEU4	sialidase 4
cg00685836	PPFIA2	PTPRF interacting protein alpha 2
cg00686022	C12orf40	hypothetical protein LOC283461 isoform 2
cg00686623	CAPN1	calpain 1; large subunit
cg00687674	TMEM84	hypothetical protein LOC283673
cg00687686	NDRG4	NDRG family member 4
cg00688421	RAP1GDS1	RAP1; GTP-GDP dissociation stimulator 1
cg00689010	NCSTN	nicastrin precursor
cg00689014	GAST	gastrin preproprotein
cg00689340	RTKN	rhotekin isoform b
cg00690049	MAGED2	melanoma antigen family D; 2
cg00690280	WFDC10B	WAP four-disulfide core domain 10B isoform a precursor
cg00690893	RAB9A	RAB9A; member RAS oncogene family
cg00691625	NR5A1	nuclear receptor subfamily 5; group A; member 1
cg00691822	KLHL13	kelch-like 13
cg00692549	TARDBP	TAR DNA binding protein
cg00693307	UPK2	uroplakin 2
cg00695416	CBR1	carbonyl reductase 1
cg00696900	MAT2A	methionine adenosyltransferase II; alpha
cg00698688	SULT2B1	sulfotransferase family; cytosolic; 2B; member 1 isoform b
cg00702231	PLAGL1	pleiomorphic adenoma gene-like 1 isoform 2
cg00702729	FLJ10925	hypothetical protein LOC55262
cg00704310	KCTD15	potassium channel tetramerisation domain containing 15
cg00704909	COPB	coatomer protein complex; subunit beta
cg00705255	LILRA3	leukocyte immunoglobulin-like receptor; subfamily A (without TM domain); member 3
cg00706536	ATP6V0A1	ATPase; H+ transporting; lysosomal V0 subunit a isoform 1
cg00707317	NMNAT2	nicotinamide mononucleotide adenylyltransferase 2 isoform 1
cg00708598	LECT1	leukocyte cell derived chemotaxin 1 isoform 1 precursor
cg00708642	EIF5	eukaryotic translation initiation factor 5
cg00711916	CNNM4	cyclin M4
cg00712898	PRPF38B	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B
cg00714377	SLA2	Src-like-adaptor 2 isoform a
cg00717862	DNAJB11	DnaJ (Hsp40) homolog; subfamily B; member 11 precursor
cg00718440	CDKN2A	cyclin-dependent kinase inhibitor 2A isoform 4
cg00718513		
cg00718748	ZNF624	zinc finger protein 624
cg00720072	39877	ring finger protein 153
cg00720137	DYNLRB2	dynein; cytoplasmic; light polypeptide 2B
cg00720723	NOP5/NOP58	nucleolar protein NOP5/NOP58
cg00722300	RLN3	relaxin 3 preproprotein
cg00724662	NXF1	nuclear RNA export factor 1
cg00725143	NPEPPS	aminopeptidase puromycin sensitive
cg00725635	B3GALT2	UDP-Gal:betaGlcNAc beta 1;3-galactosyltransferase 2
cg00725777	NGFRAP1	nerve growth factor receptor (TNFRSF16) associated protein 1 isoform b
cg00727590	PLA2G3	phospholipase A2; group III precursor
cg00727947	LILRA5	leukocyte immunoglobulin-like receptor subfamily A member 5 isoform 3
cg00728317	MT1F	metallothionein 1F
cg00728398	C1orf149	hypothetical protein LOC64769
cg00728602	C6orf27	NG37 protein
cg00729275	C18orf16	hypothetical protein LOC147429
cg00729541	FAM73B	hypothetical protein LOC84895
cg00729708	LASS3	hypothetical protein LOC204219
cg00729875	PALMD	palmdelphin
cg00730260	FLJ32894	hypothetical protein LOC144360
cg00731459	HDAC4	histone deacetylase 4
cg00733682	ZNF44	zinc finger protein 44
cg00734993	MTCH1	mitochondrial carrier homolog 1
cg00736326	ARPC1A	actin related protein 2/3 complex subunit 1A
cg00737514	TBC1D1	TBC1 (tre-2/USP6; BUB2; cdc16) domain family; member 1
cg00739120	NIFIE14	seven transmembrane domain protein
cg00741717	TLR8	toll-like receptor 8 isoform 1
cg00743372	ZNF192	zinc finger protein 192
cg00744433	CXADR	coxsackie virus and adenovirus receptor precursor
cg00745543	H1T2	histone H1 variant
cg00745735	FLJ14437	myopalladin
cg00746083	CHD8	chromodomain helicase DNA binding protein 8
cg00746130	BAT5	HLA-B associated transcript 5
cg00746981	HDGF	hepatoma-derived growth factor (high-mobility group protein 1-like)
cg00747849	SLC25A1	solute carrier family 25 (mitochondrial carrier; citrate transporter); member 1
cg00750606	CDA	cytidine deaminase
cg00751288	LOC90624	hypothetical protein LOC90624
cg00754253	HRASLS5	hypothetical protein LOC117245
cg00754617	SPACA4	sperm acrosomal membrane protein 14
cg00755043	C9orf121	nucleoredoxin
cg00755709	BAAT	bile acid Coenzyme A: amino acid N-acyltransferase
cg00756058	DZIP1	DAZ interacting protein 1 isoform 2
cg00756887	PVRL4	poliovirus receptor-related 4
cg00757070	UPK2	uroplakin 2
cg00757952	CRYBB1	crystallin; beta B1
cg00761755	SLC43A2	solute carrier family 43; member 2
cg00762512	LIAS	lipoic acid synthetase isoform 2 precursor
cg00763679	40058	septin 2
cg00763889	HRASLS2	HRAS-like suppressor 2
cg00766729	LOC147808	hypothetical protein LOC147808
cg00766889	SEPHS1	selenophosphate synthetase
cg00767581	HOXD4	homeobox D4
cg00768439	NAP1L3	nucleosome assembly protein 1-like 3
cg00769470	DEFB129	beta defensin 129 precursor
cg00769520	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2;8-sialyltransferase 1
cg00770279	CDKN2D	cyclin-dependent kinase inhibitor 2D
cg00770871	TULP3	tubby like protein 3
cg00772000	NHLRC1	malin
cg00775197	MGC33600	t-complex-associated testis expressed 1
cg00777121	RASSF1	Ras association domain family 1 isoform A
cg00777555	ARF4	ADP-ribosylation factor 4
cg00778920	PRPF19	PRP19/PSO4 pre-mRNA processing factor 19 homolog
cg00779924	FLJ45983	hypothetical protein LOC399717
cg00782174	SLC1A5	solute carrier family 1 (neutral amino acid transporter); member 5
cg00782854	BCL2L1	BCL2-like 1 isoform 2
cg00783759	LARP2	La ribonucleoprotein domain family member 2 isoform 2
cg00784357	RAC1	ras-related C3 botulinum toxin substrate 1 isoform Rac1b
cg00791249	MGC19604	hypothetical protein LOC112812 isoform 2
cg00792687	C8orf41	hypothetical protein LOC80185
cg00792740	UBE3A	ubiquitin protein ligase E3A isoform 1
cg00792849	CX36	connexin-36
cg00793648	DDX24	DEAD (Asp-Glu-Ala-Asp) box polypeptide 24
cg00793774	TRIM8	tripartite motif-containing 8
cg00795268	C11orf55	hypothetical protein LOC399879
cg00795812	PDCD1	programmed cell death 1 precursor
cg00796728	FUT4	fucosyltransferase 4
cg00798206	OXSR1	oxidative-stress responsive 1
cg00799727	MAGEA11	melanoma antigen family A; 11 isoform b
cg00800095	PNMA3	paraneoplastic cancer-testis-brain antigen
cg00804048	EIF5A	eukaryotic translation initiation factor 5A
cg00804392	RHOH	ras homolog gene family; member H
cg00806490	CDH13	cadherin 13 preproprotein
cg00807586	DLEC1	deleted in lung and esophageal cancer 1 isoform DLEC1-L1
cg00808492	REG4	regenerating islet-derived family; member 4
cg00810473	SNX22	sorting nexin 22
cg00810495	BXDC5	RNA processing factor 1
cg00811081	FLJ21908	hypothetical protein LOC79657
cg00812502	DGCR2	integral membrane protein DGCR2
cg00814580	TRAPPC6A	trafficking protein particle complex 6A
cg00815440	UQCRFS1	ubiquinol-cytochrome c reductase; Rieske iron-sulfur polypeptide 1
cg00815583	FBXO16	F-box only protein 16
cg00815605	ACOT2	peroxisomal long-chain acyl-coA thioesterase
cg00816620	C1orf25	N2;N2-dimethylguanosine tRNA methyltransferase-like
cg00818693	TTC14	tetratricopeptide repeat domain 14
cg00818872	CHRNB2	cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)
